radio,mcc,net,area,cell,unit,lon,lat,range_,samples,changeable,created,updated,averagesig,county,subcounty,ward
GSM,639,3,47,12229,0,34.777908,-0.127716,2796,2,1,1459810874,1461220234,0,Kisumu,Kisumu East Sub County,Kolwa Central Ward
GSM,639,2,5126,3192,0,34.78157,-0.07576,1000,3,1,1459707960,1487302251,0,Kisumu,Kisumu Central Sub County,Migosi Ward
GSM,639,2,4068,13465,0,36.855697631836,-1.2187957763672,1000,2,1,1459707960,1469933668,0,Nairobi,Roysambu  Sub County,Roysambu Ward
GSM,639,2,5126,145,0,34.775162,-0.08638,1000,5,1,1459707960,1479967116,0,Kisumu,Kisumu Central Sub County,Kondele Ward
GSM,639,2,5126,3210,0,34.779281616211,-0.078964233398438,1000,1,1,1459707960,1459684932,0,Kisumu,Kisumu Central Sub County,Migosi Ward
UMTS,639,2,45019,33738784,0,36.112747192383,-0.26710510253906,1000,18,1,1344627793,1345146495,0,Nakuru,Nakuru North  Sub County,Kiamaina Ward
UMTS,639,2,45019,33738788,0,36.112747192383,-0.26710510253906,1000,18,1,1344778710,1345145282,0,Nakuru,Nakuru North  Sub County,Kiamaina Ward
UMTS,639,2,45019,33738698,0,36.110001,-0.267105,1000,3,1,1344778710,1432289413,0,Nakuru,Nakuru North  Sub County,Kiamaina Ward
UMTS,639,2,45019,33739279,0,36.062852,-0.333481,18712,3,1,1344778710,1445836573,0,Nakuru,Nakuru West  Sub County,Barut Ward
GSM,639,2,122,30084,0,36.112747192383,-0.26710510253906,1000,1,1,1345357955,1345115384,0,Nakuru,Nakuru North  Sub County,Kiamaina Ward
UMTS,639,2,45019,33731994,0,36.122360229492,-0.21354675292969,1000,6,1,1345357955,1345171621,0,Nakuru,Nakuru North  Sub County,Kabatini Ward
UMTS,639,2,45019,33732206,0,36.122208,-0.215225,1499,9,1,1345357955,1366730855,0,Nakuru,Nakuru North  Sub County,Kabatini Ward
UMTS,639,2,45019,33732196,0,36.122360229492,-0.21354675292969,1000,1,1,1345357955,1345171653,0,Nakuru,Nakuru North  Sub County,Kabatini Ward
UMTS,639,3,331,208880,0,36.922817,-1.329432,1766,16,1,1353867788,1413548613,0,Nairobi,Embakasi East Sub County,Embakasi Ward
UMTS,639,3,331,207041,0,36.925735473633,-1.3286590576172,1000,6,1,1353867788,1353769830,0,Nairobi,Embakasi East Sub County,Embakasi Ward
UMTS,639,3,331,207039,0,36.925735473633,-1.3286590576172,1000,1,1,1353867788,1353769600,0,Nairobi,Embakasi East Sub County,Embakasi Ward
GSM,639,2,26,6415,0,36.928415,-1.402118,111183,96,1,1354546253,1376744358,0,Nairobi,Langata  Sub County,Mugumo-ini Ward
GSM,639,2,27,911,0,36.891403198242,-1.3190460205078,1000,1,1,1354622936,1354603122,0,Nairobi,Embakasi South Sub County,Kware Ward
GSM,639,2,25,5920,0,36.894149780273,-1.3245391845703,1000,1,1,1354626461,1354606649,0,Nairobi,Embakasi South Sub County,Pipeline Ward
GSM,639,2,25,1120,0,36.891403198242,-1.3272857666016,1000,1,1,1354626783,1354606970,0,Nairobi,Embakasi South Sub County,Kwa Njenga Ward
GSM,639,2,25,4721,0,36.890854,-1.310532,1711,5,1,1354627937,1377578547,0,Nairobi,Embakasi South Sub County,Pipeline Ward
GSM,639,2,25,4534,0,36.914749145508,-1.3437652587891,1000,1,1,1354628337,1354608526,0,Nairobi,Embakasi East Sub County,Embakasi Ward
GSM,639,2,4000,13371,0,36.958832,-1.427124,1115,20,1,1354631158,1484436309,0,Machakos,Athi River Sub County,Mathatani Ward
GSM,639,2,4001,13606,0,36.963131,-1.461234,1000,13,1,1354631597,1487379091,0,Machakos,Athi River Sub County,Athi River Ward
GSM,639,2,4001,13604,0,37.011059,-1.467123,4625,23,1,1354632073,1482643158,0,Machakos,Athi River Sub County,Kinanie Ward
GSM,639,2,4001,13602,0,36.963982,-1.462074,1061,20,1,1354645074,1487379091,0,Machakos,Athi River Sub County,Athi River Ward
GSM,639,2,4001,14235,0,36.995773,-1.446533,1000,6,1,1354646515,1482643158,0,Machakos,Athi River Sub County,Athi River Ward
GSM,639,2,108,18191,0,37.197647094727,-1.7241668701172,1000,1,1,1354649657,1354629841,0,Machakos,Machakos Sub County,Kola Ward
GSM,639,2,107,18170,0,37.376369,-2.008832,13850,7,1,1354652366,1364799961,0,MAKUENI,Kilome Sub County,Kasikeu Ward
GSM,639,2,107,18180,0,37.445526,-2.066803,2833,4,1,1354655606,1361203550,0,MAKUENI,Kilome Sub County,Kasikeu Ward
GSM,639,2,107,64296,0,37.473679,-2.080242,1000,7,1,1354656091,1364108175,0,MAKUENI,Kibwezi West  Sub County,Emali/Mulala Ward
GSM,639,2,107,18202,0,37.517884,-2.060453,138578,65,1,1354657187,1378504309,0,MAKUENI,Kibwezi West  Sub County,Emali/Mulala Ward
GSM,639,2,107,18200,0,37.633152,-2.167912,1000,8,1,1354675716,1363830608,0,KAJIADO,Kajiado East Sub County,Kenyawa-poka Ward
GSM,639,2,107,18201,0,37.707023,-2.211056,8574,24,1,1354675998,1364522458,0,MAKUENI,Kibwezi West  Sub County,Makindu Ward
GSM,639,2,107,64282,0,37.712288,-2.210999,2133,8,1,1354676569,1364522399,0,MAKUENI,Kibwezi West  Sub County,Makindu Ward
GSM,639,2,2019,11696,0,37.87809,-2.341572,9832,31,1,1354678141,1483774323,0,MAKUENI,Kibwezi West  Sub County,Nguumo Ward
GSM,639,2,2019,8602,0,38.016281,-2.511902,4142,18,1,1354680116,1490328026,0,MAKUENI,Kibwezi East  Sub County,Thange Ward
GSM,639,2,2019,11656,0,38.062134,-2.588997,3906,4,1,1354680863,1436487637,0,MAKUENI,Kibwezi East  Sub County,Ivingoni/Nzambani Ward
GSM,639,2,2019,8422,0,38.131142,-2.663155,4631,12,1,1354681598,1479710099,0,MAKUENI,Kibwezi East  Sub County,Ivingoni/Nzambani Ward
GSM,639,2,2015,8822,0,39.456711,-3.850708,2548,2,1,1354704970,1355049452,0,Kilifi,Kaloleni Sub County,Mariakani Ward
GSM,639,2,2015,8842,0,39.522491,-3.917175,3539,20,1,1354705358,1488765558,0,Kilifi,Rabai Sub County,Rabai/kisurutini Ward
GSM,639,2,2015,9362,0,39.525375,-3.924866,3506,4,1,1354705480,1488765558,0,Kilifi,Rabai Sub County,Rabai/kisurutini Ward
GSM,639,2,2015,11245,0,39.608383,-4.009171,1000,9,1,1354707783,1474253304,0,Mombasa,Changamwe Sub County,Changamwe Ward
GSM,639,2,2012,9065,0,39.631159,-4.036708,1859,34,1,1354778442,1468916040,0,Mombasa,Changamwe Sub County,Kipevu Ward
GSM,639,2,2009,8911,0,39.638157,-4.042282,1346,8,1,1354802823,1478596926,0,Mombasa,Changamwe Sub County,Kipevu Ward
GSM,639,2,2012,9685,0,39.621658,-4.044266,6231,9,1,1354804739,1492132261,0,Mombasa,Changamwe Sub County,Kipevu Ward
GSM,639,2,2012,9324,0,39.62232,-4.029527,1000,5,1,1354806077,1494070553,0,Mombasa,Changamwe Sub County,Chaani Ward
GSM,639,2,2026,11065,0,39.627823,-4.027313,1000,10,1,1354962036,1486603061,0,Mombasa,Changamwe Sub County,Chaani Ward
GSM,639,2,2026,8851,0,39.634499,-4.03119,1311,26,1,1354968765,1489480404,0,Mombasa,Changamwe Sub County,Kipevu Ward
GSM,639,2,2009,9050,0,39.657,-4.035204,1000,13,1,1354969717,1490510451,0,Mombasa,Mvita  Sub County,Tudor Ward
GSM,639,2,2026,9081,0,39.633277,-4.017759,1000,7,1,1355066314,1484204971,0,Mombasa,Changamwe Sub County,Changamwe Ward
GSM,639,2,2015,9246,0,39.584084,-4.008636,1000,4,1,1355066980,1440194245,0,Mombasa,Jomvu  Sub County,Jomvu Kuu Ward
GSM,639,2,2015,10156,0,39.393539428711,-3.7937164306641,1000,1,1,1355070167,1355050345,0,Kilifi,Kaloleni Sub County,Mariakani Ward
GSM,639,2,2015,8810,0,39.29328918457,-3.7950897216797,1000,1,1,1355070851,1355051037,0,Kwale,Kinango Sub County,Chengoni/samburu Ward
GSM,639,2,2015,8801,0,39.22737121582,-3.7662506103516,1000,1,1,1355071462,1355051649,0,Kwale,Kinango Sub County,Chengoni/samburu Ward
GSM,639,2,2015,8800,0,39.179306030273,-3.7648773193359,1000,1,1,1355071756,1355051940,0,Kwale,Kinango Sub County,Mackinon Road Ward
GSM,639,2,3000,25272,0,38.956832885742,-3.6797332763672,1000,1,1,1355075377,1355055562,0,Kwale,Kinango Sub County,Mackinon Road Ward
